Lower tier local authorities Code,Lower tier local authorities,Economic activity status (20 categories),Observation
E06000001,Hartlepool,Economically active,39487
E06000002,Middlesbrough,Economically active,58233
E06000003,Redcar and Cleveland,Economically active,57807
E06000004,Stockton-on-Tees,Economically active,89315
E06000005,Darlington,Economically active,50768
E06000006,Halton,Economically active,60121
E06000007,Warrington,Economically active,104700
E06000008,Blackburn with Darwen,Economically active,65345
E06000009,Blackpool,Economically active,61973
E06000010,Kingston upon Hull,Economically active,122835
E06000011,East Riding of Yorkshire,Economically active,158311
E06000012,North East Lincolnshire,Economically active,70673
E06000013,North Lincolnshire,Economically active,77987
E06000014,York,Economically active,93395
E06000015,Derby,Economically active,117828
E06000016,Leicester,Economically active,156924
E06000017,Rutland,Economically active,18985
E06000018,Nottingham,Economically active,128319
E06000019,Herefordshire,Economically active,89974
E06000020,Telford and Wrekin,Economically active,87567
E06000021,Stoke-on-Trent,Economically active,114783
E06000022,Bath and North East Somerset,Economically active,88709
E06000023,Bristol,Economically active,237400
E06000024,North Somerset,Economically active,103411
E06000025,South Gloucestershire,Economically active,147707
E06000026,Plymouth,Economically active,121278
E06000027,Torbay,Economically active,60685
E06000030,Swindon,Economically active,120635
E06000031,Peterborough,Economically active,103980
E06000032,Luton,Economically active,100863
E06000033,Southend-on-Sea,Economically active,86264
E06000034,Thurrock,Economically active,87752
E06000035,Medway,Economically active,136138
E06000036,Bracknell Forest,Economically active,67711
E06000037,West Berkshire,Economically active,83451
E06000038,Reading,Economically active,89882
E06000039,Slough,Economically active,76660
E06000040,Windsor and Maidenhead,Economically active,78369
E06000041,Wokingham,Economically active,90628
E06000042,Milton Keynes,Economically active,145896
E06000043,Brighton and Hove,Economically active,139720
E06000044,Portsmouth,Economically active,97606
E06000045,Southampton,Economically active,118233
E06000046,Isle of Wight,Economically active,59979
E06000047,County Durham,Economically active,227221
E06000049,Cheshire East,Economically active,195245
E06000050,Cheshire West and Chester,Economically active,171131
E06000051,Shropshire,Economically active,155011
E06000052,Cornwall,Economically active,258345
E06000053,Isles of Scilly,Economically active,1116
E06000054,Wiltshire,Economically active,255780
E06000055,Bedford,Economically active,92580
E06000056,Central Bedfordshire,Economically active,152985
E06000057,Northumberland,Economically active,145197
E06000058,"Bournemouth, Christchurch and Poole",Economically active,187945
E06000059,Dorset,Economically active,170185
E06000060,Buckinghamshire,Economically active,278024
E06000061,North Northamptonshire,Economically active,181232
E06000062,West Northamptonshire,Economically active,217286
E07000008,Cambridge,Economically active,67777
E07000009,East Cambridgeshire,Economically active,45238
E07000010,Fenland,Economically active,48342
E07000011,Huntingdonshire,Economically active,92522
E07000012,South Cambridgeshire,Economically active,83033
E07000026,Allerdale,Economically active,45104
E07000027,Barrow-in-Furness,Economically active,31857
E07000028,Carlisle,Economically active,53544
E07000029,Copeland,Economically active,31305
E07000030,Eden,Economically active,27547
E07000031,South Lakeland,Economically active,50212
E07000032,Amber Valley,Economically active,61153
E07000033,Bolsover,Economically active,38647
E07000034,Chesterfield,Economically active,48614
E07000035,Derbyshire Dales,Economically active,33639
E07000036,Erewash,Economically active,56072
E07000037,High Peak,Economically active,45411
E07000038,North East Derbyshire,Economically active,47285
E07000039,South Derbyshire,Economically active,54429
E07000040,East Devon,Economically active,67569
E07000041,Exeter,Economically active,58300
E07000042,Mid Devon,Economically active,40656
E07000043,North Devon,Economically active,45993
E07000044,South Hams,Economically active,40990
E07000045,Teignbridge,Economically active,62974
E07000046,Torridge,Economically active,30748
E07000047,West Devon,Economically active,25755
E07000061,Eastbourne,Economically active,45099
E07000062,Hastings,Economically active,42628
E07000063,Lewes,Economically active,45525
E07000064,Rother,Economically active,38988
E07000065,Wealden,Economically active,75662
E07000066,Basildon,Economically active,91388
E07000067,Braintree,Economically active,77809
E07000068,Brentwood,Economically active,38687
E07000069,Castle Point,Economically active,41813
E07000070,Chelmsford,Economically active,90993
E07000071,Colchester,Economically active,92402
E07000072,Epping Forest,Economically active,67696
E07000073,Harlow,Economically active,47280
E07000074,Maldon,Economically active,31877
E07000075,Rochford,Economically active,41446
E07000076,Tendring,Economically active,60619
E07000077,Uttlesford,Economically active,46479
E07000078,Cheltenham,Economically active,59447
E07000079,Cotswold,Economically active,44563
E07000080,Forest of Dean,Economically active,40756
E07000081,Gloucester,Economically active,66315
E07000082,Stroud,Economically active,60507
E07000083,Tewkesbury,Economically active,47119
E07000084,Basingstoke and Deane,Economically active,98627
E07000085,East Hampshire,Economically active,62511
E07000086,Eastleigh,Economically active,70179
E07000087,Fareham,Economically active,56075
E07000088,Gosport,Economically active,39443
E07000089,Hart,Economically active,51045
E07000090,Havant,Economically active,57575
E07000091,New Forest,Economically active,79645
E07000092,Rushmoor,Economically active,54036
E07000093,Test Valley,Economically active,66449
E07000094,Winchester,Economically active,60166
E07000095,Broxbourne,Economically active,49525
E07000096,Dacorum,Economically active,78594
E07000098,Hertsmere,Economically active,53936
E07000099,North Hertfordshire,Economically active,68232
E07000102,Three Rivers,Economically active,47863
E07000103,Watford,Economically active,54034
E07000105,Ashford,Economically active,64829
E07000106,Canterbury,Economically active,65185
E07000107,Dartford,Economically active,60254
E07000108,Dover,Economically active,52668
E07000109,Gravesham,Economically active,51478
E07000110,Maidstone,Economically active,88057
E07000111,Sevenoaks,Economically active,57527
E07000112,Folkestone and Hythe,Economically active,49407
E07000113,Swale,Economically active,71392
E07000114,Thanet,Economically active,61572
E07000115,Tonbridge and Malling,Economically active,65439
E07000116,Tunbridge Wells,Economically active,57062
E07000117,Burnley,Economically active,41349
E07000118,Chorley,Economically active,57743
E07000119,Fylde,Economically active,36219
E07000120,Hyndburn,Economically active,36566
E07000121,Lancaster,Economically active,61775
E07000122,Pendle,Economically active,40626
E07000123,Preston,Economically active,65664
E07000124,Ribble Valley,Economically active,30416
E07000125,Rossendale,Economically active,33751
E07000126,South Ribble,Economically active,55005
E07000127,West Lancashire,Economically active,53081
E07000128,Wyre,Economically active,48640
E07000129,Blaby,Economically active,52098
E07000130,Charnwood,Economically active,84588
E07000131,Harborough,Economically active,49034
E07000132,Hinckley and Bosworth,Economically active,56602
E07000133,Melton,Economically active,25734
E07000134,North West Leicestershire,Economically active,52662
E07000135,Oadby and Wigston,Economically active,26511
E07000136,Boston,Economically active,34354
E07000137,East Lindsey,Economically active,57820
E07000138,Lincoln,Economically active,45851
E07000139,North Kesteven,Economically active,57413
E07000140,South Holland,Economically active,46215
E07000141,South Kesteven,Economically active,69507
E07000142,West Lindsey,Economically active,43080
E07000143,Breckland,Economically active,66847
E07000144,Broadland,Economically active,63209
E07000145,Great Yarmouth,Economically active,43238
E07000146,King's Lynn and West Norfolk,Economically active,70828
E07000147,North Norfolk,Economically active,42793
E07000148,Norwich,Economically active,65708
E07000149,South Norfolk,Economically active,68411
E07000163,Craven,Economically active,27319
E07000164,Hambleton,Economically active,43724
E07000165,Harrogate,Economically active,80221
E07000166,Richmondshire,Economically active,24994
E07000167,Ryedale,Economically active,26232
E07000168,Scarborough,Economically active,47620
E07000169,Selby,Economically active,46664
E07000170,Ashfield,Economically active,60026
E07000171,Bassetlaw,Economically active,55821
E07000172,Broxtowe,Economically active,52479
E07000173,Gedling,Economically active,57258
E07000174,Mansfield,Economically active,52442
E07000175,Newark and Sherwood,Economically active,58015
E07000176,Rushcliffe,Economically active,57196
E07000177,Cherwell,Economically active,86083
E07000178,Oxford,Economically active,70771
E07000179,South Oxfordshire,Economically active,77479
E07000180,Vale of White Horse,Economically active,71537
E07000181,West Oxfordshire,Economically active,59526
E07000187,Mendip,Economically active,56449
E07000188,Sedgemoor,Economically active,59861
E07000189,South Somerset,Economically active,81984
E07000192,Cannock Chase,Economically active,50028
E07000193,East Staffordshire,Economically active,60267
E07000194,Lichfield,Economically active,51284
E07000195,Newcastle-under-Lyme,Economically active,56770
E07000196,South Staffordshire,Economically active,51697
E07000197,Stafford,Economically active,66303
E07000198,Staffordshire Moorlands,Economically active,45268
E07000199,Tamworth,Economically active,38911
E07000200,Babergh,Economically active,43629
E07000202,Ipswich,Economically active,68620
E07000203,Mid Suffolk,Economically active,50524
E07000207,Elmbridge,Economically active,68509
E07000208,Epsom and Ewell,Economically active,40544
E07000209,Guildford,Economically active,69090
E07000210,Mole Valley,Economically active,43018
E07000211,Reigate and Banstead,Economically active,76538
E07000212,Runnymede,Economically active,42374
E07000213,Spelthorne,Economically active,53162
E07000214,Surrey Heath,Economically active,46191
E07000215,Tandridge,Economically active,43472
E07000216,Waverley,Economically active,61348
E07000217,Woking,Economically active,53692
E07000218,North Warwickshire,Economically active,32421
E07000219,Nuneaton and Bedworth,Economically active,64690
E07000220,Rugby,Economically active,58594
E07000221,Stratford-on-Avon,Economically active,67024
E07000222,Warwick,Economically active,73047
E07000223,Adur,Economically active,30491
E07000224,Arun,Economically active,74398
E07000225,Chichester,Economically active,56792
E07000226,Crawley,Economically active,61678
E07000227,Horsham,Economically active,73310
E07000228,Mid Sussex,Economically active,77584
E07000229,Worthing,Economically active,54618
