authorities_code,Lower tier local authorities,Economic activity status,Total
E06000001,Hartlepool,Economically inactive,33934
E06000002,Middlesbrough,Economically inactive,51691
E06000003,Redcar and Cleveland,Economically inactive,52716
E06000004,Stockton-on-Tees,Economically inactive,65666
E06000005,Darlington,Economically inactive,35774
E06000006,Halton,Economically inactive,41901
E06000007,Warrington,Economically inactive,64747
E06000008,Blackburn with Darwen,Economically inactive,51398
E06000009,Blackpool,Economically inactive,51987
E06000010,Kingston upon Hull,Economically inactive,85720
E06000011,East Riding of Yorkshire,Economically inactive,125344
E06000012,North East Lincolnshire,Economically inactive,54480
E06000013,North Lincolnshire,Economically inactive,59019
E06000014,York,Economically inactive,70850
E06000015,Derby,Economically inactive,84846
E06000016,Leicester,Economically inactive,121440
E06000017,Rutland,Economically inactive,14872
E06000018,Nottingham,Economically inactive,121386
E06000019,Herefordshire,Economically inactive,64969
E06000020,Telford and Wrekin,Economically inactive,58290
E06000021,Stoke-on-Trent,Economically inactive,85927
E06000022,Bath and North East Somerset,Economically inactive,67164
E06000023,Bristol,Economically inactive,137056
E06000024,North Somerset,Economically inactive,71928
E06000025,South Gloucestershire,Economically inactive,83900
E06000026,Plymouth,Economically inactive,90480
E06000027,Torbay,Economically inactive,54651
E06000030,Swindon,Economically inactive,63249
E06000031,Peterborough,Economically inactive,60472
E06000032,Luton,Economically inactive,64849
E06000033,Southend-on-Sea,Economically inactive,57774
E06000034,Thurrock,Economically inactive,45251
E06000035,Medway,Economically inactive,82184
E06000036,Bracknell Forest,Economically inactive,30534
E06000037,West Berkshire,Economically inactive,45227
E06000038,Reading,Economically inactive,46664
E06000039,Slough,Economically inactive,39214
E06000040,Windsor and Maidenhead,Economically inactive,43580
E06000041,Wokingham,Economically inactive,47578
E06000042,Milton Keynes,Economically inactive,73151
E06000043,Brighton and Hove,Economically inactive,85240
E06000044,Portsmouth,Economically inactive,65442
E06000045,Southampton,Economically inactive,77785
E06000046,Isle of Wight,Economically inactive,58185
E06000047,County Durham,Economically inactive,198474
E06000049,Cheshire East,Economically inactive,129185
E06000050,Cheshire West and Chester,Economically inactive,118130
E06000051,Shropshire,Economically inactive,113335
E06000052,Cornwall,Economically inactive,210803
E06000053,Isles of Scilly,Economically inactive,601
E06000054,Wiltshire,Economically inactive,157039
E06000055,Bedford,Economically inactive,52307
E06000056,Central Bedfordshire,Economically inactive,79468
E06000057,Northumberland,Economically inactive,120248
E06000058,"Bournemouth, Christchurch and Poole",Economically inactive,137693
E06000059,Dorset,Economically inactive,147219
E06000060,Buckinghamshire,Economically inactive,157907
E06000061,North Northamptonshire,Economically inactive,102526
E06000062,West Northamptonshire,Economically inactive,117122
E07000008,Cambridge,Economically inactive,50552
E07000009,East Cambridgeshire,Economically inactive,25214
E07000010,Fenland,Economically inactive,35443
E07000011,Huntingdonshire,Economically inactive,53411
E07000012,South Cambridgeshire,Economically inactive,45312
E07000026,Allerdale,Economically inactive,34495
E07000027,Barrow-in-Furness,Economically inactive,23142
E07000028,Carlisle,Economically inactive,36071
E07000029,Copeland,Economically inactive,24063
E07000030,Eden,Economically inactive,18452
E07000031,South Lakeland,Economically inactive,38067
E07000032,Amber Valley,Economically inactive,42441
E07000033,Bolsover,Economically inactive,26625
E07000034,Chesterfield,Economically inactive,36121
E07000035,Derbyshire Dales,Economically inactive,26688
E07000036,Erewash,Economically inactive,36048
E07000037,High Peak,Economically inactive,29181
E07000038,North East Derbyshire,Economically inactive,36804
E07000039,South Derbyshire,Economically inactive,31049
E07000040,East Devon,Economically inactive,58199
E07000041,Exeter,Economically inactive,48075
E07000042,Mid Devon,Economically inactive,26549
E07000043,North Devon,Economically inactive,35056
E07000044,South Hams,Economically inactive,32955
E07000045,Teignbridge,Economically inactive,48925
E07000046,Torridge,Economically inactive,26142
E07000047,West Devon,Economically inactive,22045
E07000061,Eastbourne,Economically inactive,37816
E07000062,Hastings,Economically inactive,30930
E07000063,Lewes,Economically inactive,36421
E07000064,Rother,Economically inactive,39575
E07000065,Wealden,Economically inactive,56144
E07000066,Basildon,Economically inactive,54691
E07000067,Braintree,Economically inactive,46733
E07000068,Brentwood,Economically inactive,23360
E07000069,Castle Point,Economically inactive,31501
