Ethnic group,Economically active: an employee,Economically active: Self-employed,Economically active: unemployed,Economically inactive: Student,Economically inactive looking after home or family,Economic inactive: Long-term sick or disabled,Economically inactive:retired,Economically inactive: Other,,
"Asian, Asian British or Asian Welsh: Bangladeshi"," 182,240 "," 36,745 "," 29,020 "," 57,370 "," 77,210 "," 16,370 "," 3,110 "," 26,310 ",,
"Asian, Asian British or Asian Welsh: Chinese"," 161,365 "," 32,290 "," 13,210 "," 81,745 "," 27,310 "," 3,150 "," 10,415 "," 12,980 ",,
"Asian, Asian British or Asian Welsh: Indian"," 795,460 "," 130,585 "," 63,990 "," 116,560 "," 92,835 "," 27,525 "," 20,535 "," 46,320 ",,
"Asian, Asian British or Asian Welsh: Pakistani"," 421,330 "," 124,985 "," 59,790 "," 127,995 "," 173,225 "," 42,150 "," 7,740 "," 67,405 ",,
"Asian, Asian British or Asian Welsh: Other Asian"," 374,505 "," 69,590 "," 33,930 "," 83,780 "," 74,460 "," 15,705 "," 7,075 "," 39,055 ",,
"Black, Black British, Black Welsh, Caribbean or African: African"," 552,925 "," 94,515 "," 90,995 "," 153,565 "," 64,060 "," 26,615 "," 4,885 "," 60,735 ",,
"Black, Black British, Black Welsh, Caribbean or African: Caribbean"," 255,645 "," 37,665 "," 37,840 "," 32,490 "," 21,260 "," 26,570 "," 9,195 "," 27,525 ",,
"Black, Black British, Black Welsh, Caribbean or African: Other Black"," 76,985 "," 12,090 "," 14,940 "," 25,910 "," 7,335 "," 9,920 "," 2,085 "," 11,485 ",,
Mixed or Multiple ethnic groups: White and Asian," 128,575 "," 22,925 "," 14,185 "," 45,165 "," 9,645 "," 8,040 "," 2,815 "," 8,745 ",,
Mixed or Multiple ethnic groups: White and Black African," 61,780 "," 11,465 "," 10,380 "," 20,140 "," 6,270 "," 5,325 ", 875 ," 5,870 ",,
Mixed or Multiple ethnic groups: White and Black Caribbean," 150,395 "," 24,275 "," 24,890 "," 37,670 "," 17,100 "," 17,425 "," 2,030 "," 17,180 ",,
Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups," 142,220 "," 29,590 "," 18,900 "," 37,045 "," 13,855 "," 10,790 "," 2,610 "," 12,220 ",,
"White: English, Welsh, Scottish, Northern Irish or British"," 16,580,545 "," 2,987,570 "," 1,027,540 "," 1,590,180 "," 1,335,655 "," 1,458,805 "," 1,047,035 "," 891,160 ",,
White: Gypsy or Irish Traveller," 10,855 "," 6,270 "," 2,545 "," 2,385 "," 7,450 "," 6,340 ", 545 ," 5,770 ",,
White: Irish," 197,075 "," 42,380 "," 12,065 "," 15,490 "," 12,630 "," 15,815 "," 13,075 "," 9,930 ",,
White: Roma," 43,790 "," 13,740 "," 4,855 "," 4,635 "," 5,620 "," 1,910 ", 570 ," 5,335 ",,
White: Other White," 1,819,780 "," 459,785 "," 130,470 "," 183,275 "," 144,995 "," 43,370 "," 25,725 "," 91,135 ",,
Other ethnic group: Arab," 78,885 "," 19,545 "," 16,750 "," 45,210 "," 31,875 "," 11,035 "," 2,055 "," 15,965 ",,
Other ethnic group: Any other ethnic group," 316,655 "," 85,485 "," 39,605 "," 66,905 "," 65,750 "," 24,930 "," 7,690 "," 51,570 ",,
England and Wales overall," 22,351,005 "," 4,241,500 "," 1,645,905 "," 2,727,510 "," 2,188,540 "," 1,771,795 "," 1,170,070 "," 1,406,705 ",,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
