Ethnic-group,Age,Economic-status,Total
Asian,16-19,Economically active:Employee,31055
Asian,16-19,Economically active:Self-Employed,1430
Asian,16-19,Economically active:Unemployed,21125
Asian,16-19,Economically inactive:Student,207710
Asian,16-19,Economically inactive:Looking after home or family,1630
Asian,16-19,Economically inactive:Long term sick or disabled,560
Asian,16-19,Economically inactive:Retired,25
Asian,16-19,Economically inactive:Other,3025
Asian,20-24,Economically active:Employee,148175
Asian,20-24,Economically active:Self-Employed,8815
Asian,20-24,Economically active:Unemployed,38845
Asian,20-24,Economically inactive:Student,127195
Asian,20-24,Economically inactive:Looking after home or family,11775
Asian,20-24,Economically inactive:Long term sick or disabled,3665
Asian,20-24,Economically inactive:Retired,80
Asian,20-24,Economically inactive:Other,15460
Asian,25-29,Economically active:Employee,216235
Asian,25-29,Economically active:Self-Employed,20625
Asian,25-29,Economically active:Unemployed,23740
Asian,25-29,Economically inactive:Student,27705
Asian,25-29,Economically inactive:Looking after home or family,30975
Asian,25-29,Economically inactive:Long term sick or disabled,5065
Asian,25-29,Economically inactive:Retired,95
Asian,25-29,Economically inactive:Other,17800
Asian,30-34,Economically active:Employee,246410
Asian,30-34,Economically active:Self-Employed,37170
Asian,30-34,Economically active: Unemployed,18135
Asian,30-34,Economically inactive:Student,8765
Asian,30-34,Economically inactive:Looking after home or family,61060
Asian,30-34,Economically inactive:Long term sick or disabled,6425
Asian,30-34,Economically inactive:Retired,165
Asian,30-34,Economically inactive:Other,20380
Asian,35-39,Economically active:Employee,255020
Asian,35-39,Economically active:Self-Employed,52965
Asian,35-39,Economically active:Unemployed,16830
Asian,35-39,Economically inactive:Student,4975
Asian,35-39,Economically inactive:Looking after home or family,71950
Asian,35-39,Economically inactive:Long term sick or disabled,8335
Asian,35-39,Economically inactive:Retired,300
Asian,35-39,Economically inactive:Other,20460
Asian,40-44,Economically active:Employee,228140
Asian,40-44,Economically active:Self-Employed,59750
Asian,40-44,Economically active:Unemployed,15160
Asian,40-44,Economically inactive:Student,3415
Asian,40-44,Economically inactive:Looking after home or family,63450
Asian,40-44,Economically inactive:Long term sick or disabled,10365
Asian,40-44,Economically inactive:Retired,505
Asian,40-44,Economically inactive:Other,18865
Asian,45-49,Economically active:Employee,171140
Asian,45-49,Economically active:Self-Employed,51930
Asian,45-49,Economically active:Unemployed,11545
Asian,45-49,Economically inactive:Student,1955
Asian,45-49,Economically inactive:Looking after home or family,43000
Asian,45-49,Economically inactive:Long term sick or disabled,9355
Asian,45-49,Economically inactive:Retired,920
Asian,45-49,Economically inactive:Other,15865
Asian,50-54,Economically active:Employee,126485
Asian,50-54,Economically active:Self-Employed,41995
Asian,50-54,Economically active:Unemployed,9305
Asian,50-54,Economically inactive:Student,1085
Asian,50-54,Economically inactive:Looking after home or family,36200
Asian,50-54,Economically inactive:Long term sick or disabled,13490
Asian,50-54,Economically inactive:Retired,3120
Asian,50-54,Economically inactive:Other,14610
Asian,55-59,Economically active:Employee,82405
Asian,55-59,Economically active:Self-Employed,28070
Asian,55-59,Economically active:Unemployed,6315
Asian,55-59,Economically inactive:Student,560
Asian,55-59,Economically inactive:Looking after home or family,25660
Asian,55-59,Economically inactive:Long term sick or disabled,13440
Asian,55-59,Economically inactive:Retired,9215
Asian,55-59,Economically inactive:Other,12540
Asian,60-64,Economically active:Employee,55335
Asian,60-64,Economically active:Self-Employed,21835
Asian,60-64,Economically active:Unemployed,5010
Asian,60-64,Economically inactive:Student,315
Asian,60-64,Economically inactive:Looking after home or family,20480
Asian,60-64,Economically inactive:Long term sick or disabled,16340
Asian,60-64,Economically inactive:Retired,27435
Asian,60-64,Economically inactive:Other,11915
Black,16-19,Economically active:Employee,17130
Black,16-19,Economically active:Self-Employed,920
Black,16-19,Economically active:Unemployed,19090
Black,16-19,Economically inactive:Student,121765
Black,16-19,Economically inactive:Looking after home or family,665
Black,16-19,Economically inactive:Long term sick or disabled,380
Black,16-19,Economically inactive:Retired,10
Black,16-19,Economically inactive:Other,3585
Black,20-24,Economically active:Employee,78535
Black,20-24,Economically active:Self-Employed,5945
Black,20-24,Economically active:Unemployed,30210
Black,20-24,Economically inactive:Student,50080
Black,20-24,Economically inactive:Looking after home or family,4340
Black,20-24,Economically inactive:Long term sick or disabled,2395
Black,20-24,Economically inactive:Retired,65
Black,20-24,Economically inactive:Other,11475
Black,25-29,Economically active:Employee,105260
Black,25-29,Economically active:Self-Employed,10490
Black,25-29,Economically active:Unemployed,19155
Black,25-29,Economically inactive:Student,10995
Black,25-29,Economically inactive:Looking after home or family,9120
Black,25-29,Economically inactive:Long term sick or disabled,3375
Black,25-29,Economically inactive:Retired,100
Black,25-29,Economically inactive:Other,12155
Black,30-34,Economically active:Employee,103990
Black,30-34,Economically active:Self-Employed,14075
Black,30-34,Economically active:Unemployed,14980
Black,30-34,Economically inactive:Student,7730
Black,30-34,Economically inactive:Looking after home or family,15970
Black,30-34,Economically inactive:Long term sick or disabled,3965
Black,30-34,Economically inactive:Retired,65
Black,30-34,Economically inactive:Other,11195
Black,35-39,Economically active:Employee,106205
Black,35-39,Economically active:Self-Employed,17560
Black,35-39,Economically active:Unemployed,13235
Black,35-39,Economically inactive:Student,6375
Black,35-39,Economically inactive:Looking after home or family,16390
Black,35-39,Economically inactive:Long term sick or disabled,4700
Black,35-39,Economically inactive:Retired,90
Black,35-39,Economically inactive:Other,10705
Black,40-44,Economically active:Employee,110850
Black,40-44,Economically active:Self-Employed,20985
Black,40-44,Economically active:Unemployed,11685
Black,40-44,Economically inactive:Student,5600
Black,40-44,Economically inactive:Looking after home or family,14635
Black,40-44,Economically inactive:Long term sick or disabled,5725
Black,40-44,Economically inactive:Retired,225
Black,40-44,Economically inactive:Other,10515
Black,45-49,Economically active:Employee,106095
Black,45-49,Economically active:Self-Employed,21125
Black,45-49,Economically active:Unemployed,10635
Black,45-49,Economically inactive:Student,4055
Black,45-49,Economically inactive:Looking after home or family,11060
Black,45-49,Economically inactive:Long term sick or disabled,7025
Black,45-49,Economically inactive:Retired,245
Black,45-49,Economically inactive:Other,9975
Black,50-54,Economically active:Employee,110645
Black,50-54,Economically active:Self-Employed,22470
Black,50-54,Economically active:Unemployed,10165
Black,50-54,Economically inactive:Student,2820
Black,50-54,Economically inactive:Looking after home or family,9830
Black,50-54,Economically inactive:Long term sick or disabled,8510
Black,50-54,Economically inactive:Retired,900
Black,50-54,Economically inactive:Other,11445
Black,55-59,Economically active:Employee,94610
Black,55-59,Economically active:Self-Employed,19080
