
Ethnic group,Sex,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,"8. Process, plant and machine operatives",9. Elementary occupations,,,,,
"Asian, Asian British or Asian Welsh: Bangladeshi",Female," 4,095 "," 17,330 "," 10,700 "," 11,240 "," 1,170 "," 13,275 "," 13,255 "," 1,135 "," 8,060 ",,,,,
"Asian, Asian British or Asian Welsh: Bangladeshi",Male," 14,925 "," 19,110 "," 11,400 "," 8,360 "," 18,490 "," 4,210 "," 17,145 "," 24,955 "," 20,130 ",,,,,
"Asian, Asian British or Asian Welsh: Chinese",Female," 15,230 "," 35,085 "," 14,440 "," 10,495 "," 4,885 "," 5,360 "," 9,150 ", 825 ," 8,970 ",,,,,
"Asian, Asian British or Asian Welsh: Chinese",Male," 14,070 "," 30,715 "," 10,025 "," 3,390 "," 17,765 "," 1,595 "," 4,125 "," 2,605 "," 4,930 ",,,,,
"Asian, Asian British or Asian Welsh: Indian",Female," 41,655 "," 151,420 "," 53,535 "," 55,575 "," 4,980 "," 37,140 "," 40,680 "," 11,665 "," 33,900 ",,,,,
"Asian, Asian British or Asian Welsh: Indian",Male," 82,335 "," 159,125 "," 51,470 "," 25,620 "," 32,500 "," 15,240 "," 36,860 "," 44,065 "," 48,280 ",,,,,
"Asian, Asian British or Asian Welsh: Pakistani",Female," 13,355 "," 50,585 "," 24,105 "," 28,775 "," 2,720 "," 34,590 "," 29,060 "," 4,175 "," 17,970 ",,,,,
"Asian, Asian British or Asian Welsh: Pakistani",Male," 41,655 "," 59,175 "," 27,795 "," 17,935 "," 26,150 "," 10,015 "," 39,260 "," 75,885 "," 43,110 ",,,,,
"Asian, Asian British or Asian Welsh: Other Asian",Female," 16,590 "," 65,460 "," 20,460 "," 19,190 "," 5,940 "," 42,550 "," 22,470 "," 3,675 "," 27,155 ",,,,,
"Asian, Asian British or Asian Welsh: Other Asian",Male," 27,885 "," 45,535 "," 20,760 "," 9,160 "," 21,175 "," 14,315 "," 25,045 "," 27,940 "," 28,785 ",,,,,
"Black, Black British, Black Welsh, Caribbean or African: African",Female," 17,630 "," 95,635 "," 31,150 "," 23,190 "," 4,290 "," 92,575 "," 22,580 "," 3,680 "," 41,465 ",,,,,
"Black, Black British, Black Welsh, Caribbean or African: African",Male," 25,565 "," 69,975 "," 33,545 "," 14,215 "," 16,225 "," 35,645 "," 18,970 "," 39,960 "," 61,130 ",,,,,
"Black, Black British, Black Welsh, Caribbean or African: Caribbean",Female," 11,945 "," 36,615 "," 24,930 "," 25,170 "," 2,790 "," 30,895 "," 13,945 "," 2,060 "," 12,245 ",,,,,
"Black, Black British, Black Welsh, Caribbean or African: Caribbean",Male," 12,195 "," 19,995 "," 20,085 "," 7,365 "," 19,020 "," 8,470 "," 8,850 "," 17,580 "," 19,160 ",,,,,
"Black, Black British, Black Welsh, Caribbean or African: Other Black",Female," 3,090 "," 10,880 "," 6,860 "," 6,345 ", 800 ," 9,205 "," 4,310 ", 575 ," 4,080 ",,,,,
"Black, Black British, Black Welsh, Caribbean or African: Other Black",Male," 3,660 "," 6,810 "," 6,285 "," 2,580 "," 4,695 "," 2,985 "," 3,405 "," 5,490 "," 7,020 ",,,,,
Mixed or Multiple ethnic groups: White and Asian,Female," 8,095 "," 23,070 "," 14,350 "," 9,210 "," 1,305 "," 8,145 "," 6,845 ", 770 ," 5,155 ",,,,,
Mixed or Multiple ethnic groups: White and Asian,Male," 11,505 "," 20,240 "," 13,205 "," 3,985 "," 7,280 "," 2,480 "," 5,015 "," 4,465 "," 6,380 ",,,,,
Mixed or Multiple ethnic groups: White and Black African,Female," 3,100 "," 8,060 "," 5,930 "," 4,195 ", 740 ," 6,005 "," 3,855 ", 590 ," 4,940 ",,,,,
Mixed or Multiple ethnic groups: White and Black African,Male," 3,845 "," 6,540 "," 5,605 "," 1,640 "," 4,285 "," 1,890 "," 2,510 "," 3,805 "," 5,705 ",,,,,
Mixed or Multiple ethnic groups: White and Black Caribbean,Female," 6,810 "," 16,580 "," 14,995 "," 11,820 "," 1,860 "," 16,565 "," 10,765 "," 1,395 "," 10,065 ",,,,,
Mixed or Multiple ethnic groups: White and Black Caribbean,Male," 8,200 "," 11,385 "," 13,830 "," 3,890 "," 13,835 "," 4,000 "," 6,730 "," 8,840 "," 13,105 ",,,,,
Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Female," 9,035 "," 24,255 "," 16,230 "," 10,470 "," 1,655 "," 11,355 "," 7,400 "," 1,135 "," 8,295 ",,,,,
Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Male," 11,355 "," 19,545 "," 13,905 "," 3,830 "," 8,995 "," 3,470 "," 5,055 "," 6,390 "," 9,435 ",,,,,
"White: English, Welsh, Scottish, Northern Irish or British",Female," 940,025 "," 1,995,975 "," 1,360,090 "," 1,495,155 "," 208,890 "," 1,534,875 "," 945,300 "," 143,480 "," 822,550 ",,,,,
"White: English, Welsh, Scottish, Northern Irish or British",Male," 1,637,905 "," 1,783,190 "," 1,377,530 "," 426,635 "," 1,955,265 "," 320,445 "," 526,920 "," 1,095,845 "," 998,045 ",,,,,
White: Gypsy or Irish Traveller,Female, 605 , 445 , 685 , 575 , 390 ," 1,220 ", 680 , 340 ," 2,005 ",,,,,
White: Gypsy or Irish Traveller,Male," 1,170 ", 560 , 815 , 205 ," 2,785 ", 400 , 490 ," 1,600 "," 2,140 ",,,,,
White: Irish,Female," 15,545 "," 41,905 "," 17,980 "," 15,330 "," 1,605 "," 10,810 "," 5,795 ", 910 ," 5,060 ",,,,,
White: Irish,Male," 25,890 "," 36,255 "," 18,700 "," 4,985 "," 15,390 "," 3,580 "," 3,570 "," 8,490 "," 7,660 ",,,,,
White: Roma,Female," 1,595 "," 2,495 "," 1,975 "," 1,575 "," 1,155 "," 2,745 "," 1,730 "," 1,355 "," 7,740 ",,,,,
