Ethnic group,Age,Occupation type,Count
Asian,16-19,Managers Directors and Senior Officials,680
Asian,16-19,Professional Occupations,2570
Asian,16-19,Associate Professional and Technical Occupations,3710
Asian,16-19,Administrative and Secretarial Occupations,3585
Asian,16-19,Skilled Trades Occupations,1455
Asian,16-19,Caring Leisure and Other Service Occupations,3765
Asian,16-19,Sales and Customer Service Occupations,12385
Asian,16-19,Process Plant and Machine Operatives,1215
Asian,16-19,Elementary Occupations,8255
Asian,20-24,Managers Directors and Senior Officials,1820
Asian,20-24,Professional Occupations,7990
Asian,20-24,Associate Professional and Technical Occupations,6640
Asian,20-24,Administrative and Secretarial Occupations,5890
Asian,20-24,Skilled Trades Occupations,2765
Asian,20-24,Caring Leisure and Other Service Occupations,6670
Asian,20-24,Sales and Customer Service Occupations,16655
Asian,20-24,Process Plant and Machine Operatives,2225
Asian,20-24,Elementary Occupations,11200
Asian,25-29,Managers Directors and Senior Officials,20230
Asian,25-29,Professional Occupations,104180
Asian,25-29,Associate Professional and Technical Occupations,42960
Asian,25-29,Administrative and Secretarial Occupations,28600
Asian,25-29,Skilled Trades Occupations,9445
Asian,25-29,Caring Leisure and Other Service Occupations,18815
Asian,25-29,Sales and Customer Service Occupations,30370
Asian,25-29,Process Plant and Machine Operatives,9965
Asian,25-29,Elementary Occupations,23150
Asian,30-34,Managers Directors and Senior Officials,38730
Asian,30-34,Professional Occupations,121905
Asian,30-34,Associate Professional and Technical Occupations,42555
Asian,30-34,Administrative and Secretarial Occupations,27950
Asian,30-34,Skilled Trades Occupations,13490
Asian,30-34,Caring Leisure and Other Service Occupations,22035
Asian,30-34,Sales and Customer Service Occupations,30120
Asian,30-34,Process Plant and Machine Operatives,21645
Asian,30-34,Elementary Occupations,27890
Asian,35-39,Managers Directors and Senior Officials,55115
Asian,35-39,Professional Occupations,101865
Asian,35-39,Associate Professional and Technical Occupations,40225
Asian,35-39,Administrative and Secretarial Occupations,29175
Asian,35-39,Skilled Trades Occupations,18910
Asian,35-39,Caring Leisure and Other Service Occupations,24360
Asian,35-39,Sales and Customer Service Occupations,25550
Asian,35-39,Process Plant and Machine Operatives,29635
Asian,35-39,Elementary Occupations,30510
Asian,40-44,Managers Directors and Senior Officials,54010
Asian,40-44,Professional Occupations,105850
Asian,40-44,Associate Professional and Technical Occupations,32075
Asian,40-44,Administrative and Secretarial Occupations,25515
Asian,40-44,Skilled Trades Occupations,22420
Asian,40-44,Caring Leisure and Other Service Occupations,26575
Asian,40-44,Sales and Customer Service Occupations,27690
Asian,40-44,Process Plant and Machine Operatives,33660
Asian,40-44,Elementary Occupations,33100
Asian,45-49,Managers Directors and Senior Officials,40365
Asian,45-49,Professional Occupations,72515
Asian,45-49,Associate Professional and Technical Occupations,24410
Asian,45-49,Administrative and Secretarial Occupations,19625
Asian,45-49,Skilled Trades Occupations,22220
Asian,45-49,Caring Leisure and Other Service Occupations,22440
Asian,45-49,Sales and Customer Service Occupations,22635
Asian,45-49,Process Plant and Machine Operatives,32775
Asian,45-49,Elementary Occupations,33255
Asian,50-54,Managers Directors and Senior Officials,27245
Asian,50-54,Professional Occupations,43740
Asian,50-54,Associate Professional and Technical Occupations,14660
Asian,50-54,Administrative and Secretarial Occupations,14665
Asian,50-54,Skilled Trades Occupations,17920
Asian,50-54,Caring Leisure and Other Service Occupations,20395
Asian,50-54,Sales and Customer Service Occupations,17835
Asian,50-54,Process Plant and Machine Operatives,26635
Asian,50-54,Elementary Occupations,26930
Asian,55-59,Managers Directors and Senior Officials,18845
Asian,55-59,Professional Occupations,25655
Asian,55-59,Associate Professional and Technical Occupations,9425
Asian,55-59,Administrative and Secretarial Occupations,11805
Asian,55-59,Skilled Trades Occupations,11405
Asian,55-59,Caring Leisure and Other Service Occupations,11775
Asian,55-59,Sales and Customer Service Occupations,12105
Asian,55-59,Process Plant and Machine Operatives,14875
Asian,55-59,Elementary Occupations,19815
Asian,60-64,Managers Directors and Senior Officials,13610
Asian,60-64,Professional Occupations,14620
Asian,60-64,Associate Professional and Technical Occupations,5735
Asian,60-64,Administrative and Secretarial Occupations,7335
Asian,60-64,Skilled Trades Occupations,9710
Asian,60-64,Caring Leisure and Other Service Occupations,8170
Asian,60-64,Sales and Customer Service Occupations,9910
Asian,60-64,Process Plant and Machine Operatives,11945
Asian,60-64,Elementary Occupations,14610
